City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,71.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Touros,BR,75.65,clear sky,-5.1989,-35.4608,INN NEW HORIZON
2,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Rikitea,PF,73.38,clear sky,-23.1203,-134.9692,People ThankYou
5,Arraial Do Cabo,BR,66.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
6,Ribeira Grande,PT,70.2,shower rain,38.5167,-28.7,Quinta da Meia Eira
8,Mumford,GH,76.96,light rain,5.2618,-0.759,Peace Guest House
10,Yellowknife,CA,57.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
11,Saint George,US,70.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
12,Jumla,NP,67.8,scattered clouds,29.2747,82.1838,Royal Garden Hotel
14,Cape Town,ZA,76.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
16,Albany,US,50.65,clear sky,42.6001,-73.9662, 
17,Bethel,US,60.49,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
18,Busselton,AU,61.21,overcast clouds,-33.65,115.3333,Observatory Guest House
20,Ponta Do Sol,PT,72.23,few clouds,32.6667,-17.1,Hotel do Campo
22,Hasaki,JP,72.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
23,Richards Bay,ZA,77.43,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
25,Faanui,PF,78.49,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
26,Taltal,CL,57.25,overcast clouds,-25.4,-70.4833,Residencial Karime
29,Ahipara,NZ,59.09,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
31,Nhamunda,BR,74.59,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
34,Omagh,GB,53.15,broken clouds,54.6,-7.3,Silverbirch Hotel
35,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
37,Sao Filipe,CV,77.45,overcast clouds,14.8961,-24.4956,Hotel Xaguate
38,Xining,CN,58.44,overcast clouds,36.6167,101.7667,Super Leisure Hotel
39,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
42,Tautira,PF,76.96,light rain,-17.7333,-149.15,Pension Oaoa
